Date,Tag,Category, , ,Hours,Formatted Time,Earned,
"Jan 14, 2021","discussion","Imencity", , , 2.927,02:55:36,"$128.78"
"Jan 13, 2021","free_work","Imencity", , , 2.319,02:19:09,"$102.05"
"Jan 13, 2021","discussion","Imencity", , , 1.013,01:00:47,"$44.58"
"Jan 12, 2021","free_work","Imencity", , , 4.809,04:48:32,"$211.60"
"Jan 12, 2021","discussion","Imencity", , , 1.31,01:18:34,"$57.62"
"Jan 11, 2021","discussion","Imencity", , , 2.598,02:35:53,"$114.32"
"Jan 8, 2021","fix image uploading on S3","Imencity", , , 0.11,00:06:35,"$4.84"
"Jan 7, 2021","fix image uploading on S3","Imencity", , , 3.672,03:40:20,"$161.58"
"Jan 7, 2021","discussion","Imencity", , , 3.495,03:29:41,"$153.78"
"Jan 6, 2021","discussion","Imencity", , , 2.17,02:10:12,"$95.49"
"Jan 4, 2021","ssl certificate","Imencity", , , 6.071,06:04:16,"$267.14"
"Jan 4, 2021","deployment","Imencity", , , 0.412,00:24:44,"$18.14"
"Jan 3, 2021","used product
","Imencity", , , 2.086,02:05:11,"$91.80"
"Jan 3, 2021","free_work","Imencity", , , 1.035,01:02:04,"$45.52"
"Jan 3, 2021","spree_searchkick fix product's filter on storefront","Imencity", , , 1,01:00:00,"$44.00"
"Jan 2, 2021","spree_searchkick fix product's filter on storefront","Imencity", , , 7.948,07:56:54,"$349.73"
"Jan 2, 2021","used product
","Imencity", , , 2.629,02:37:45,"$115.69"
"Jan 1, 2021","used product
","Imencity", , , 2.695,02:41:40,"$118.57"
"Jan 1, 2021","spree_searchkick fix product's filter on storefront","Imencity", , , 0.057,00:03:24,"$2.49"
"Jan 1, 2021","free_work","Imencity", , , 1.87,01:52:11,"$82.27"
"Jan 1, 2021","discussion","Imencity", , , 3.001,03:00:01,"$132.02"
"Dec 31, 2020","spree_searchkick fix product's filter on storefront","Imencity", , , 8.74,08:44:24,"$384.57"
"Dec 30, 2020","spree_searchkick fix product's filter on storefront","Imencity", , , 7.545,07:32:43,"$331.99"
"Dec 29, 2020","spree_searchkick fix product's filter on storefront","Imencity", , , 13.137,13:08:12,"$578.02"
"Dec 28, 2020","spree_searchkick fix product's filter on storefront","Imencity", , , 11.144,11:08:36,"$490.32"
"Dec 28, 2020","used product
","Imencity", , , 1.067,01:03:59,"$46.93"
"Dec 28, 2020","discussion","Imencity", , , 1.482,01:28:55,"$65.22"
"Dec 27, 2020","used product
","Imencity", , , 7.261,07:15:40,"$319.50"
"Dec 27, 2020","discussion","Imencity", , , 4.507,04:30:23,"$198.29"
"Dec 27, 2020","fix image uploading on S3","Imencity", , , 1.094,01:05:39,"$48.15"
"Dec 26, 2020","used product
","Imencity", , , 2.023,02:01:23,"$89.02"
"Dec 25, 2020","used product
","Imencity", , , 4.044,04:02:38,"$177.94"
"Dec 25, 2020","vendor's signup page","Imencity", , , 1.34,01:20:24,"$58.96"
"Dec 24, 2020","vendor's signup page","Imencity", , , 0.425,00:25:31,"$18.72"
"Dec 24, 2020","discussion","Imencity", , , 1.006,01:00:20,"$44.25"
"Dec 23, 2020","discussion","Imencity", , , 3.093,03:05:34,"$136.09"
"Dec 23, 2020","vendor's signup page","Imencity", , , 3.275,03:16:29,"$144.10"
"Dec 21, 2020","vendor's signup page","Imencity", , , 1.837,01:50:11,"$80.81"
"Dec 21, 2020","Fix review product page (when a vendor is assigned to selected a products)
","Imencity", , , 2.647,02:38:49,"$116.47"
"Dec 19, 2020","deployment","Imencity", , , 0.382,00:22:56,"$16.82"
"Dec 19, 2020","vendor's signup page","Imencity", , , 4.791,04:47:27,"$210.81"
"Dec 19, 2020","discussion","Imencity", , , 3.585,03:35:05,"$157.73"
"Dec 18, 2020","vendor's signup page","Imencity", , , 4.247,04:14:50,"$186.89"
"Dec 18, 2020","discussion","Imencity", , , 4.962,04:57:44,"$218.34"
"Dec 18, 2020","deployment","Imencity", , , 0,00:00,"$0.01"
"Dec 18, 2020","vendor's form validation with ajax","Imencity", , , 3.892,03:53:29,"$171.23"
"Dec 17, 2020","vendor's signup page","Imencity", , , 14.154,14:09:14,"$622.78"
"Dec 16, 2020","vendor's signup page","Imencity", , , 7.846,07:50:46,"$345.24"
"Dec 16, 2020","deployment","Imencity", , , 1.703,01:42:09,"$74.92"
"Dec 16, 2020","discussion","Imencity", , , 0.344,00:20:36,"$15.12"
"Dec 15, 2020","vendor's signup page","Imencity", , , 4.827,04:49:37,"$212.39"
"Dec 15, 2020","redirection after login","Imencity", , , 6.636,06:38:08,"$291.97"
"Dec 15, 2020","discussion","Imencity", , , 2.701,02:42:02,"$118.82"
"Dec 14, 2020","vendor's signup page","Imencity", , , 9.027,09:01:36,"$397.18"
"Dec 14, 2020","deployment","Imencity", , , 2.166,02:09:56,"$95.29"
"Dec 14, 2020","discussion","Imencity", , , 1.573,01:34:21,"$69.20"
"Dec 12, 2020","deployment","Imencity", , , 4.116,04:06:58,"$181.12"
"Dec 12, 2020","discussion","Imencity", , , 1.32,01:19:11,"$58.07"
"Dec 11, 2020","deployment","Imencity", , , 4.089,04:05:20,"$179.92"
"Dec 11, 2020","vendor's signup page","Imencity", , , 7.819,07:49:08,"$344.04"
"Dec 10, 2020","vendor's signup page","Imencity", , , 10.68,10:40:46,"$469.90"
"Dec 9, 2020","vendor's signup page","Imencity", , , 9.185,09:11:05,"$404.13"
"Dec 8, 2020","vendor's signup page","Imencity", , , 12.039,12:02:20,"$529.72"
"Dec 7, 2020","sign up page","Imencity", , , 4.806,04:48:21,"$211.46"
"Dec 7, 2020","milestone 1 report","Imencity", , , 2.703,02:42:09,"$118.91"
"Dec 2, 2020","estimates","Imencity", , , 2.39,02:23:24,"$105.16"
"Dec 2, 2020","preparation","Imencity", , , 10.278,10:16:39,"$452.22"
